datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
2017-10-18 14:17:06,1508336225654,2nxs5,0,quest,50.0,,0.3926773333333333,18.9266662597656,-1,-1,-1,-1,-1,-1,-1,-0.013753243333333333,0.5037026666666666,0.8622233333333332,-1.0,-1.0
2017-10-18 14:17:07,1508336226505,2nxs5,0,quest,83.0,6.142526225528752,0.5751893333333333,28.3899993896484,-1,-1,-1,-1,-1,-1,-1,-0.012858076666666668,0.49633799999999995,0.8617758333333332,-1.0,-1.0
2017-10-18 14:17:08,1508336227508,2nxs5,0,quest,99.33333333333333,5.883723262478981,0.5696586666666668,28.3899993896484,-1,-1,-1,-1,-1,-1,-1,-0.018554693333333334,0.49011233333333326,0.8661701666666665,-1.0,-1.0
2017-10-18 14:17:09,1508336228506,2nxs5,0,quest,99.16666666666667,5.650327690326407,0.5696586666666668,28.3899993896484,-1,-1,-1,-1,-1,-1,-1,-0.01798503,0.48006183333333324,0.8721108333333331,-1.0,-1.0
2017-10-18 14:17:10,1508336229506,2nxs5,0,quest,99.5,5.425654487712027,0.5696586666666668,28.3899993896484,-1,-1,-1,-1,-1,-1,-1,-0.015828446666666666,0.4690348333333332,0.8782956666666664,-1.0,-1.0
2017-10-18 14:17:11,1508336230502,2nxs5,0,quest,99.83333333333333,5.248385586118507,0.5585973333333334,28.4799995422363,-1,-1,-1,-1,-1,-1,-1,-0.01692708,0.4608968333333332,0.8825276666666664,-1.0,-1.0
2017-10-18 14:17:12,1508336231502,2nxs5,0,quest,100.0,5.086956399721607,0.5751893333333333,28.5699996948242,-1,-1,-1,-1,-1,-1,-1,-0.029215483333333337,0.45629883333333326,0.8846843333333331,-1.0,-1.0
2017-10-18 14:17:13,1508336232502,2nxs5,0,quest,99.66666666666667,4.945741620348933,0.6083733333333333,28.6599998474121,-1,-1,-1,-1,-1,-1,-1,-0.03706866666666667,0.4512531666666666,0.8869223333333331,-1.0,-1.0
2017-10-18 14:17:14,1508336233499,2nxs5,0,quest,99.33333333333333,4.802693746993984,0.6304960000000001,28.6599998474121,-1,-1,-1,-1,-1,-1,-1,-0.041178366666666674,0.4466961666666666,0.8888753333333331,-1.0,-1.0
2017-10-18 14:17:15,1508336234499,2nxs5,0,quest,99.33333333333333,4.695738607035544,0.6028426666666666,28.6599998474121,-1,-1,-1,-1,-1,-1,-1,-0.041748033333333344,0.4488934999999999,0.8882648333333333,-1.0,-1.0
2017-10-18 14:17:16,1508336235498,2nxs5,0,quest,100.0,4.615993790448623,0.5641279999999999,28.6599998474121,-1,-1,-1,-1,-1,-1,-1,-0.0431722,0.45263683333333327,0.8867998333333332,-1.0,-1.0
2017-10-18 14:17:17,1508336236502,2nxs5,0,quest,101.0,4.533287645382043,0.5696586666666664,28.6599998474121,-1,-1,-1,-1,-1,-1,-1,-0.04467771666666667,0.4578043333333333,0.8841141666666665,-1.0,-1.0
2017-10-18 14:17:18,1508336237502,2nxs5,0,quest,101.66666666666667,4.445681844530245,0.5475359999999998,28.6599998474121,-1,-1,-1,-1,-1,-1,-1,-0.03747558333333334,0.44087716666666665,0.8915606666666666,-1.0,-1.0
